FECHA,N1,N2,N3,N4,N5,N6,COMPLEMENTARIO,REINTEGRO
9/12/2021,2,14,28,30,38,48,42,1
8/12/2021,14,16,38,40,41,43,2,7
7/12/2021,8,18,26,39,44,46,12,8
6/12/2021,6,35,39,40,44,47,29,4
4/12/2021,4,22,26,32,37,41,38,8
3/12/2021,6,21,24,28,44,45,27,5
2/12/2021,1,16,23,25,41,47,43,9
1/12/2021,3,6,17,18,30,39,13,1
30/11/2021,1,3,17,19,23,35,48,2
29/11/2021,10,25,34,35,43,46,37,6
27/11/2021,9,11,12,27,31,41,5,4
26/11/2021,15,18,33,34,45,49,10,7
25/11/2021,4,28,39,43,48,49,7,3
24/11/2021,5,34,35,38,45,48,30,9
23/11/2021,10,23,32,41,45,48,12,7
22/11/2021,7,9,19,25,29,34,35,8
20/11/2021,1,14,19,20,22,37,28,1
19/11/2021,8,27,32,37,45,48,42,6
18/11/2021,1,5,10,11,27,42,34,1
17/11/2021,10,15,27,32,40,48,8,3
16/11/2021,4,27,30,36,45,49,2,5
15/11/2021,16,27,31,37,42,45,21,3
13/11/2021,2,3,5,7,17,40,30,8
12/11/2021,24,38,39,41,44,45,16,5
11/11/2021,20,21,22,31,32,44,4,7
10/11/2021,5,23,26,27,40,46,41,3
9/11/2021,9,21,25,37,38,47,19,5
8/11/2021,4,20,36,39,44,46,32,7
6/11/2021,11,12,16,29,32,35,43,2
5/11/2021,7,16,26,35,39,44,5,1
4/11/2021,3,6,26,28,30,40,34,7
3/11/2021,3,7,10,11,19,44,16,6
2/11/2021,4,13,14,25,36,44,20,0
1/11/2021,18,28,31,34,36,39,48,0
30/10/2021,19,27,32,42,43,48,40,4
29/10/2021,3,7,14,26,29,34,32,2
28/10/2021,1,2,3,11,23,30,6,1
27/10/2021,2,7,15,31,32,39,13,3
26/10/2021,1,31,34,35,37,48,10,3
25/10/2021,3,6,9,32,41,49,44,9
23/10/2021,2,4,10,21,24,31,37,3
22/10/2021,3,12,14,19,47,49,22,3
21/10/2021,19,22,27,30,33,45,44,2
20/10/2021,6,19,20,21,32,38,35,2
19/10/2021,23,25,30,33,36,38,5,7
18/10/2021,6,12,14,27,31,37,20,4
16/10/2021,3,22,25,30,34,43,44,9
15/10/2021,3,15,16,37,43,47,5,9
14/10/2021,8,13,20,35,38,46,5,2
13/10/2021,7,17,23,27,42,46,5,3
12/10/2021,8,16,24,28,41,48,34,2
11/10/2021,7,9,10,17,20,26,25,6
9/10/2021,5,7,11,26,40,46,20,8
8/10/2021,1,13,20,23,31,43,44,8
7/10/2021,11,16,28,29,32,45,30,4
6/10/2021,7,13,14,31,32,49,29,9
5/10/2021,1,16,27,33,44,46,14,2
4/10/2021,2,13,16,29,33,45,34,4
2/10/2021,4,18,21,24,26,49,28,3
1/10/2021,3,16,21,28,39,49,35,4
30/09/2021,14,15,29,36,42,46,4,2
29/09/2021,15,31,35,42,43,48,17,4
28/09/2021,10,11,21,27,34,39,30,1
27/09/2021,3,9,13,16,39,42,18,9
25/09/2021,11,23,24,32,39,46,1,8
24/09/2021,4,7,8,20,25,37,15,6
23/09/2021,1,6,7,14,28,31,15,7
22/09/2021,6,16,20,25,28,43,17,1
21/09/2021,2,7,13,21,30,48,25,8
20/09/2021,18,30,34,44,46,48,31,7
18/09/2021,10,19,23,25,29,30,22,2
17/09/2021,1,14,15,21,23,48,19,4
16/09/2021,8,23,26,32,34,44,48,8
15/09/2021,13,17,23,32,40,43,21,4
14/09/2021,1,6,12,37,45,47,9,8
13/09/2021,5,12,13,32,38,41,6,5
11/09/2021,4,6,19,21,25,32,44,1
10/09/2021,8,19,21,22,33,34,9,2
9/09/2021,1,5,6,27,28,30,18,8
8/09/2021,12,17,24,40,44,46,36,2
7/09/2021,1,11,21,26,32,37,22,4
6/09/2021,6,16,22,41,45,46,3,3
4/09/2021,12,22,27,37,40,49,41,9
3/09/2021,27,32,33,36,45,48,4,7
2/09/2021,21,23,25,28,38,41,24,9
1/09/2021,9,15,18,21,36,43,40,0
31/08/2021,6,18,20,24,41,43,23,7
30/08/2021,5,16,27,29,30,48,49,2
28/08/2021,6,8,12,38,39,40,11,2
27/08/2021,14,16,18,27,42,48,1,2
26/08/2021,1,6,19,20,23,33,48,5
